text,sentiment
@syukry_5 lansung ju jasi Kyrgyzstan negara bagian,neutral
🫂💗,positive
5 - 0 🤣🤣🤣,negative
#STYSTAY,positive
Egy memang keren sih kalau dulu performanya,positive
1-2 🫣,neutral
"@ahmdsyhgun krn mrk yg pling bagus di antara pemain2 lokal lbh parah ngga ngerti polanya yg ngga di bawa😂,sedangkan anak2 keturunan kan msh proses.",neutral
Sananta kok ga masuk,neutral
GGNT🙌🔥,positive
@ghalifmahesa nonton match vs Iraq gak bang? One shot one goal,neutral
🔥🔥🔥,neutral
Lawan Australia.. pakai jersey putih min... pasti menang,positive
so proud of you garudaa❤‍🔥,positive
Giliran mencetak gol saja baru dipuji. Saat blunder malah dihujat. Dasar norak!,negative
🔥🔥🔥🔥🔥,neutral
"Tinggal lawan raja terakhir, minimal imbang, syukur-syukur menang 🔥",positive
👏👏❤️❤️,positive
Waduh,neutral
Terima kasih pak👏,positive
"Protes Mulu, lu tau gak keadaan pemain Kya gmna, dukung aja Napa ribet bener lu jdi org",negative
Pasti Walsh mundur,neutral
"Rido maennya santai banget ga langsung tubruk, waduh pemaen lokalnya ampas semua",negative
"Ya tidak apa-apa hoki, yang penting menang. Kalau perlu, hoki sampai juara, ya, kan?",positive
bener enakeun mainnya lepas banget,positive
"Struik mulu, Sananta kapan yah?",negative
"Please lah ya, jangan disamain Piala Ciki yang gak ada VAR. Ngapain coba meluk-meluk, takut kehilangan lu 😑",negative
@ochellll_ rcti,neutral
Intinya bek timnas kita jangan sampai cosplay bek MU Maguire 🙌,neutral
🔥🔥,positive
Sananta kenapa gk diajak woi😂,negative
Apalah baru main udah 1-0,negative
STY stay Pak Erick Thohir,positive
Tetap bangga dengan Garuda Muda.,positive
🔥🔥,positive
"@ghalifmahesa Untuk saat ini, Meiga tidak tergantikan kalau soal terbaik. Kalau masalah baperan, kurasa Anda keliru. Presiden klubnya yang baperan dan nyinyir juga.",neutral
😊🇮🇩🦅❤️🔥,positive
"optimis... buat yang terbaik untuk Indonesia, tetap fokus dan kurangi kesalahan ..🔥🔥🔥🔥",positive
"Pemain kita tidak ada yang protes, ikhlas sekali posisi penyerang lawan offside. Akhirnya wasit tidak meninjau dengan VAR. 😢",neutral
GG njie,positive
Alhamdulillah.,positive
"Tambah gol lagi! Bagaimanapun caranya, tambah terus!",positive
@musaanlbf untuk lawan Jepang.,neutral
Kalah lagi kalah lagi... heran...,negative
"Heran sama sdm rendah masyarakat kita, bukan nya di dukung malah dinyinyirin, ini so far timnas terbaik dari semua lini masa",positive
"Preman ASEAN! Hubner juga layak sih! 🔥🔥🔥 Bola boleh lewat, lawan tidak boleh! Wkwk",positive
😢,negative
"Tolong jelaskan maksudnya, fada gak paham 🥲",neutral
"@fahmiyudistria_ baru juga latihan, belum pertandingan resmi 😂",neutral
@bagaaaskarra Angkat STY jadi PNS sekalian!,neutral
"Lihat, lihat, lihat! Kapten kita datang...",neutral
Pattynama untukmu nyata! 🔥🔥,positive
@simsonmarada huhhh untung gak emosi gua😮‍💨😮‍💨,neutral
Pas lawan argen cuman kalah 2-0 ini kok sampe 5-0😢,negative
"@rizki9inanjar pemain timnas kita (lokal), sekarang itu pemain timnas kita abroad.. Harus optimis.",positive
prediksi aing ga meleset antara 2-2 Ama 4-0,neutral
Alhamdulillah❤️,positive
@m2388cp lu smlm nntn full atau cuma potongan tiktok doang bang?,neutral
"Realistis, walau hasil tidak memuaskan, tetap bangga 🔥🙌🇮🇩",positive
"@bungtowel8 Mau ngebacot apa lagi, lu? Mending diam saja, Wel!",negative
Nguyen tampa wasit hanya sekelas timur leste,negative
@delano_ladan 🔥🔥🔥🔥,positive
🔥🔥🔥,positive
😭😭😭,negative
Lawan Jepang harus pakai bambu runcing.,neutral
"Rafael stuck main nya cacat kaya bocah di lapangan bola gede, cuman bisa lari doang",negative
"@psm_makassar prediksi Kenzo benar, Min! 😂 3-1",positive
All Team Apotik tutup🔥,neutral
🔥🔥🔥🔥🔥🔥🔥🔥🔥,positive
Thank You @kojo_joel_10,positive
Kasi keras dan menyala 🔥🔥🔥,positive
"Apakah sty udah bosen nglatih timnas, pemain kelas kalah sama pemain grusak grusuk",negative
"Jujur, kurang di lini tengah dan depan saja, tapi lebih prioritas lini depan.",neutral
"Towel gak usah ikut komen, diem aja lu towel",negative
info… 16 besar main 2x apa sekali ?,neutral
COBA KASIH NONTON MANCHESTER CITY DULU MENDING BIAR LIAT CARA PASING YANG BENER 🔥🔥,negative
Asnawiiii kenapa???,neutral
🔥🔥,positive
"Alhamdulillah, sejarah baru😍😍 perpanjang kontrak coach Shin pak",positive
"Ayooo bismillah bisa🔥🔥🔥🔥 apapun yg terjadi hadapin aja dlu...kekuatan kalian di lapangan 11 orang , tp di luar lapangan ada ratusan juta manusia membuat kekuatan ini menjadi sejarah yg makin indah menuju 8 besar🔥🔥🔥🔥🔥 we Love Indonesian",positive
alhamdulilah❤️,positive
"Bismillah semangat Garudaku..🔥🔥🔥 Semoga malam ini kemenangan berpihak pada Garudaku.. Bismillah, kalian pasti bisa. OPTIMIS GARUDAKU BISA BUKTIKAN!",positive
PERANG URAT SARAF,neutral
@adinugroho_st Sandy Walsh 🔥🔥,positive
Lumbung gol,negative
@elsanum_azzahra lu main ps aja pake sananta 7 hari 7 malam biar lu puas ga nanya2in,negative
@s.pattynama mana 😢,neutral
🔥🔥🔥,positive
Kereng sampean 🔥🔥👏👏 Marai jedag jedug 🔥🔥🙌🙌,positive
🔥,positive
"@erickthohir perpanjang STY, PAK. DONE 1 TARGET 🔥🔥",positive
STY STAY 👉🏽👉🏽👉🏽👉🏽👉🏽👉🏽👉🏽👉🏽,positive
Sananta?,neutral
Kenapa Struick dimainkan terus sih. Lihat mukanya gue muak,negative
Super duper kelas 🔥,positive
Terlalu takut,negative
Ngopi mas,neutral
@apinrcs_ wibu so asik,negative
Tetep Egy Bapukk gaes 👎🏻,negative
"@viancodet_01 mana ada, targetnya lolos ke 16 besar genks😤",neutral
🔥🔥 Alhamdulillah.,positive
"Liga buruk, peringkat paling rendah dari Singapura. Rata-rata pemain paling muda, peringkat FIFA paling rendah, belum berpengalaman di level Asia terakhir main tahun 2007. Tetapi ekspektasi netizen bocil dan pengamat sok tahu bola harus menang terus.",negative
sananta?,neutral
🔥🔥,positive
@irma_chrysant sbnrnya bukan itu doang selama pertandingan yg sering di obok obok tu bagian wing bek,neutral
"yg kecewa silahkan menepi, yg setia tetap berdiri🦅🇮🇩 Selamat Sandy Buat Goal Perdana Nya🔥",positive
Bismillah Indonesia menang 🙏🙏,positive
🔥🔥🔥,positive
"""ASNAWI MULU""",neutral
Terima kasih sudah berjuangggg 🔥,positive
@eldityadianchandra_29 bukannya ngebelain dia yg udah bawa indonesia sejauh ini...,neutral
"Optimis para pemain ya, jangan dengerin netizen yang komen sampah, kalah menang biasa namanya permainan tapi usahamu sudah luar biasa👍🏻 dari pada netizen yang cuma bisa komen, belum tentu main di lapangan bisa wkwkwk",positive
Beda kasta 😢😢,negative
@hanifmisbah2 greget anj pada panik hadehhh,neutral
Woww selamat Timnas Garuda Indonesia...kami bangga pak Erick God Bless all of you🙏😇😍❤️❤️🇮🇩🇮🇩🇮🇩❤️❤️🔥🔥🔥,positive
"Lawan Vietnam permainan Ernando keren kyk kiper Eropa... Semoga aja pas lawan Jepang permainan nya bagus kyk lawan Vietnam... Jgn cuma bagus klo pas lawan sesama Asia Tenggara aja... Apalagi lawan Jepang ini penentuan lolos tidak nya ke 16 besar... Iraq Uda pasti lolos, Vietnam juga ga lolos... Tinggal jepang atau Indonesia aja yg Nemani Iraq lolos 16 besar... 😂🤔",neutral
Alhamdulillah,positive
😍😍,neutral
🤩🤩🤩🔥🔥🔥,positive
🔥,positive
Kasih yang terbaik🙌❤️🔥,positive
"@skrns87 modal bacot doang gampang. Minimal kalau nggak punya otak kayak lo nih, komennya yang positif aja, ler!",negative
Terima kasih atas perjuangannya 😍🔥,positive
🔥🔥🔥,neutral
nice try,positive
🔥🔥,positive
🔥🔥,positive
"Kalau indonesia sampe menang bisa² pemain kita jadi inceran klub luar negeri nih,",positive
Bangga gua 🔥,positive
@jufri_alayubi saha Firnando ajg 😂😂😂,negative
Bang Hubner tolong pukul nomor 5 Vietnam yaaa😍,negative
Dahlah,negative
Asnawi Pakubumi 🔥,positive
Akselerasi saddil harusnya penting,neutral
ERNANDOOO MVP!! GG @nandoariiiss 🔥🔥🔥,positive
🔥🔥🔥,positive
🔥🔥,neutral
🔥🔥🔥,neutral
😍,positive
Iya bang... Jordy belum apa-apa udah kasih bonus buat Jepang 😢,negative
Pelatih sih ini,neutral
🔥🦅,positive
🔥🔥🔥,neutral
👏👏,positive
Hoki tai buang bnyak peluang🔥🔥🔥🔥,negative
@bagus_geekday iya wkwkwk mana ada yang bilang buat ganti sama sananta,neutral
Ivar Jenner top👏🔥,positive
"@syhrl_rmdhndy tiap kalah ganti pelatih terus, kocak.",neutral
@kacamata_tulungagung bener gemes sumpah Rizky Ridho tinggl maju,neutral
Tetap Bangga Browwwwww! Tak perlu lama lama #STYSTAY @erickthohir,positive
"Pelanggaran yang berbuah penalti untuk keunggulan Indonesia adalah sesuatu yang belum tentu didapatkan pemainnya sendiri saat bermain di Liga 1.. bukan karena wasit liga di Indonesia tidak menganggap pelanggaran, tapi takut dipukuli pemain dan suporter. Gajinya tidak seberapa, tanggungannya tidak bisa pulang ketemu keluarga dalam kondisi utuh atau hidup 😂",negative
TUNTASKAN NEXT 🔥🔥,positive
"Semangat STY, tetap menjadi pelatih Tim Indonesia! Semangat, sukses selalu!",positive
🔥🔥🔥🔥,positive
Semoga pertandingan ke-3 lawan Jepang kita menang. Amin. 🤲🤲🤲🤲🤲,positive
Nek belakang mesti d evaluasi bikin blunder 2x,negative
🔥🔥🔥,positive
COYG 🔥🔥,positive
👏👏👏,positive
@m.ramadhansn 👏🔥,positive
Thankyou garuda,positive
🔥🔥.,positive
GACORRRRR,positive
"Pas final tahun lalu dia ambil tendangan penalti terus gak gol, dihujat habis-habisan. Sampai mentalnya down!! Namanya pertandingan kalah menang sudah biasa, jadi please kalau pun Indo lagi kalah jangan pernah dihujat! Harusnya selalu support apapun hasilnya. Semangat terus Timnas ❤️",positive
"@faldoangra kalah saing sama anak emas sty,",negative
Kita butuh pemain yg berani megang bola kek sadil berani akselerasi,neutral
NADEO IS BACK. 👊🏻🔥🔥🔥,positive
"@dadiaklesmana76 iya co, sebelum save ernando di akhir ada block yg bagus juga dari sayuri",neutral
"Lokal no impact, Yacob gak jelas semalam",negative
"@rrezinr__ gausah heran, kalo lihat ujicoba kemarin Saddil beneran kaga perform",neutral
👏🏿👏🏿👏🏿👏🏿👏🏿👏🏿👏🏿👏🏿👏🏿👏🏿👏🏿,positive
@alvinnurrahman lebih aktif 😅,neutral
"Blunder, ganti Asnawi masukin Witan. Masih nggak habis pikir yang itu.",neutral
Capek sudah,neutral
Bismillah ❤️,positive
@injurytimeindonesia Egy gak bisa passing 😭,negative
"😂😂 salah satu lini yg gw sorot dari awal, alasan kuatnya gak ada statistik performa dan banyak hal lagi kalo mau diambil segi individual dengan kiper2 lain..",negative
reallll kelasss ernando🔥,positive
🙌👏🔥,positive
"@aga_nuary_frastisma Tapi malam kalah, Bang Madrid.",neutral
StY stay🔥🔥,positive
"Kasihan Sandy tidak pernah dikasih posisi nyamannya. Hebatnya, masih ada saja yang bilang kalau Sandy mainnya jelek, padahal dari awal masuk Timnas tidak pernah dikasih tempat ternyamannya. 😔",negative
"Ayo kemasi barang"", semoga selamat sampai Indonesia🔥",negative
Ayo berjuang kita do'akan yg terbaik,positive
@riowicak_ Terbukti gol kan,neutral
Full time 5-0 Indo lose,negative
EWAKOOO,positive
SHAYNE NYA 😢 AYOO KUCH,neutral
@mlnaa__09 Yang benar... Miskin taktik dan memang beda kelas 😂😂😂😂,negative
Bismillah ❤️,positive
"Malay ayo memang jugaaaa biar jadi peringkat 3 terbaik tpi selisih gol minus banyak, -6",negative
